,Date,Product,Demand_count,Demand_mean,Demand_sum,Year,Month,Week
0,2012-01-05,Product_1359,16,43875.0,702000,2012,1,4
1,2012-01-06,Product_1359,20,33800.0,676000,2012,1,5
2,2012-01-10,Product_1359,24,32625.0,783000,2012,1,2
3,2012-01-11,Product_1359,20,10000.0,200000,2012,1,3
4,2012-01-12,Product_1359,17,16705.882352941175,284000,2012,1,4
5,2012-01-13,Product_1359,23,23130.434782608696,532000,2012,1,5
6,2012-01-16,Product_1359,16,29937.5,479000,2012,1,1
7,2012-01-17,Product_1359,12,36250.0,435000,2012,1,2
8,2012-01-18,Product_1359,5,5800.0,29000,2012,1,3
9,2012-01-19,Product_1359,25,19080.0,477000,2012,1,4
10,2012-01-20,Product_1359,19,15263.157894736842,290000,2012,1,5
11,2012-01-23,Product_1359,15,10466.666666666666,157000,2012,1,1
12,2012-01-24,Product_1359,21,15761.904761904761,331000,2012,1,2
13,2012-01-25,Product_1359,19,53789.47368421053,1022000,2012,1,3
14,2012-01-26,Product_1359,16,34062.5,545000,2012,1,4
15,2012-01-27,Product_1359,7,16285.714285714286,114000,2012,1,5
16,2012-01-30,Product_1359,13,34923.07692307692,454000,2012,1,1
17,2012-01-31,Product_1359,24,58291.666666666664,1399000,2012,1,2
18,2012-02-01,Product_1359,24,18750.0,450000,2012,2,3
19,2012-02-02,Product_1359,15,29666.666666666668,445000,2012,2,4
20,2012-02-03,Product_1359,22,17727.272727272728,390000,2012,2,5
21,2012-02-06,Product_1359,19,21368.42105263158,406000,2012,2,1
22,2012-02-07,Product_1359,21,28619.04761904762,601000,2012,2,2
23,2012-02-08,Product_1359,11,36636.36363636364,403000,2012,2,3
24,2012-02-09,Product_1359,21,50142.857142857145,1053000,2012,2,4
25,2012-02-10,Product_1359,14,14071.42857142857,197000,2012,2,5
26,2012-02-13,Product_1359,20,15850.0,317000,2012,2,1
27,2012-02-14,Product_1359,11,27363.636363636364,301000,2012,2,2
28,2012-02-15,Product_1359,20,6450.0,129000,2012,2,3
29,2012-02-16,Product_1359,17,23588.235294117647,401000,2012,2,4
30,2012-02-17,Product_1359,22,13545.454545454546,298000,2012,2,5
31,2012-02-20,Product_1359,14,22428.571428571428,314000,2012,2,1
32,2012-02-21,Product_1359,20,35700.0,714000,2012,2,2
33,2012-02-22,Product_1359,12,10250.0,123000,2012,2,3
34,2012-02-23,Product_1359,19,17315.78947368421,329000,2012,2,4
35,2012-02-24,Product_1359,14,7714.285714285715,108000,2012,2,5
36,2012-02-27,Product_1359,15,28000.0,420000,2012,2,1
37,2012-02-28,Product_1359,12,13583.333333333334,163000,2012,2,2
38,2012-02-29,Product_1359,12,37416.666666666664,449000,2012,2,3
39,2012-03-01,Product_1359,22,32727.272727272728,720000,2012,3,4
40,2012-03-02,Product_1359,18,25833.333333333332,465000,2012,3,5
41,2012-03-05,Product_1359,20,38050.0,761000,2012,3,1
42,2012-03-06,Product_1359,16,30437.5,487000,2012,3,2
43,2012-03-07,Product_1359,14,13428.57142857143,188000,2012,3,3
44,2012-03-08,Product_1359,16,34312.5,549000,2012,3,4
45,2012-03-09,Product_1359,17,10294.117647058823,175000,2012,3,5
46,2012-03-12,Product_1359,12,32916.666666666664,395000,2012,3,1
47,2012-03-13,Product_1359,14,17000.0,238000,2012,3,2
48,2012-03-14,Product_1359,12,12500.0,150000,2012,3,3
49,2012-03-15,Product_1359,17,17235.29411764706,293000,2012,3,4
50,2012-03-16,Product_1359,13,40307.692307692305,524000,2012,3,5
51,2012-03-19,Product_1359,13,19846.153846153848,258000,2012,3,1
52,2012-03-21,Product_1359,20,16400.0,328000,2012,3,3
53,2012-03-22,Product_1359,15,16666.666666666668,250000,2012,3,4
54,2012-03-23,Product_1359,16,19687.5,315000,2012,3,5
55,2012-03-26,Product_1359,19,15421.052631578947,293000,2012,3,1
56,2012-03-27,Product_1359,14,37142.857142857145,520000,2012,3,2
57,2012-03-28,Product_1359,4,39500.0,158000,2012,3,3
58,2012-03-29,Product_1359,7,25142.85714285714,176000,2012,3,4
59,2012-03-30,Product_1359,20,19100.0,382000,2012,3,5
60,2012-04-01,Product_1359,6,25500.0,153000,2012,4,7
61,2012-04-02,Product_1359,23,17826.08695652174,410000,2012,4,1
62,2012-04-03,Product_1359,14,13142.857142857143,184000,2012,4,2
63,2012-04-04,Product_1359,21,23809.52380952381,500000,2012,4,3
64,2012-04-05,Product_1359,11,30272.727272727272,333000,2012,4,4
65,2012-04-06,Product_1359,12,38083.333333333336,457000,2012,4,5
66,2012-04-08,Product_1359,3,106666.66666666667,320000,2012,4,7
67,2012-04-09,Product_1359,13,18000.0,234000,2012,4,1
68,2012-04-10,Product_1359,21,19333.333333333332,406000,2012,4,2
69,2012-04-11,Product_1359,17,17705.882352941175,301000,2012,4,3
70,2012-04-12,Product_1359,17,18882.352941176472,321000,2012,4,4
71,2012-04-13,Product_1359,12,20750.0,249000,2012,4,5
72,2012-04-15,Product_1359,2,42500.0,85000,2012,4,7
73,2012-04-16,Product_1359,14,18500.0,259000,2012,4,1
